uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task4_v1_line,response_deepseek_deepseek-v3.2_task4_v1_line
41019663,aeneid_book3,Servius,"erili voluntate , non lege coniugii : vel quia inter captivos matrimonio fides non stabat : unde et 'MASK' dixit . et 'MASK', quia alii tradidit , quidam 'MASK' accipiunt .",TRANSMISIT HABENDAM,329,1,,,,329,710
61003512,aeneid_book1,Servius,"proprie MASK dicuntur exitus fluminum , sed modo abusus est , quia plerumque MASK ipsa pro portu sunt .",OSTIA,400,1,,,,159,244
24527679,aeneid_book4,Servius,sic Aeolus “MASK MASK MASK MASK MASK MASK MASK“ .,TIBI FAS ANIMUM TEMPTARE PRECANDO,113,1,,,,116,125
76590588,aeneid_book2,Servius,"vel quia 'MASK' appellantur quae sunt in ministerio Iovis , quando morbos aut letum aut bellum hominibus molitur , quia in XII . ait “MASK MASK MASK MASK MASK“ .",APPARENT DIRAE FACIES,622,1,,,,337,337
7986276,aeneid_book9,Servius,"distinguendum , ut initium iuris iurandi sit 'MASK MASK MASK'.",NON,206,1,,,,300,186
65984520,aeneid_book11,Servius,qui a diis originem ducunt .,CUM GENTE DEORUM,305,1,,,,340,318
41722738,aeneid_book12,Servius,"quidam pro 'MASK', alii pro 'MASK', ut “MASK MASK MASK MASK MASK“ .",SUPER,301,1,,,,1,646
28547083,aeneid_book7,Servius,acyrologiam fecit commutando Ennii versum : nam ille ait “MASK MASK MASK MASK MASK“ .,RUPIT SATURNIA POSTES,622,1,,,,753,691
38876251,aeneid_book4,Servius,"id est , hoc vellem praecipue .",PRIMUM,342,1,,,,657,550
81599950,aeneid_book10,Servius,id est castra Troianorum .,TROIAM,378,1,,,,118,12
24076009,aeneid_book3,Servius,"aperta ianua , per periphrasin .",VERSO CARDINE,448,1,,,,537,351
94256236,aeneid_book8,Servius,"fatum saepe pro morte positum legitur , 'MASK' ergo letiferum .",FATIFERUMQUE ENSEM,621,1,,,,578,18
68553774,aeneid_book5,Servius,"ordo est : iubet caedere MASK MASK , id est rite peragi sacrificium , et sic solvi MASK : sic in septimo “MASK MASK MASK MASK MASK“ , id est rite . 'MASK' autem quo naves ad terram ligantur .",SOLVIQUE EX ORDINE FUNEM,773,1,,,,774,237
17434163,aeneid_book6,Servius,"MASK “MASK MASK MASK MASK MASK“ . et hinc ostenditur quod diximus , iuncta esse haec tria : Acheronta , Stygem , Cocyton . de his autem nascuntur alia , unde est “MASK MASK MASK MASK MASK“ .",INDE UT STYGIA PROSPEXIT AB UNDA,385,1,,,,297,323
74640562,aeneid_book8,Servius,"unum vacat , aut 'MASK', aut 'MASK', ut “MASK MASK MASK MASK MASK MASK MASK“ : tale est et illud “MASK MASK MASK MASK“ .",POST HINC AD NAVES GRADITUR,546,1,,,,596,675
96585365,aeneid_book6,Servius,"obtineat , custodiat , inhabitet , ut “MASK MASK MASK MASK MASK MASK MASK“ .",SERVET,402,1,,,,673,851
6256800,aeneid_book1,Servius,"volubilibus , et est participium pro nomine . volvens enim est qui volvit , volubilis qui volvitur . anni autem volvuntur , non volvunt , ut est “MASK MASK MASK MASK MASK MASK MASK MASK“ . alii quia deficit lingua Latina participio praesenti passivo praesens activum positum volunt , ut “MASK MASK“ et “MASK MASK“ quae quassetur .",VOLVENTIBUS,234,1,,,,269,234
71119013,aeneid_book11,Servius,quantum ad mare pertinet : nam terrae prima est .,EXTREMAMQUE,626,1,,,,317,315
11608067,aeneid_book11,Servius,modo 'MASK'.,MUSSANT,454,1,,,,442,415
51741338,aeneid_book9,Servius,"per genetivum frequentius utimur hac figura , quam per ablativum . sane hic secutus veteres cuius rei MASK addidit , cum alibi subtraxerit , ut “MASK MASK MASK MASK“ et “MASK MASK MASK MASK MASK MASK“ .",DIVES EQUUM,26,1,,,,251,749
2496498,aeneid_book6,Servius,"'MASK MASK MASK' dicimus , non 'MASK MASK': quod qui dicunt decipiuntur propter 'MASK MASK MASK'.",INSISTERE LIMEN,563,1,,,,126,743
87044754,aeneid_book9,Servius,"ab hoc officio et ab hac audacia accessu temporis inferior non probabor , qualiscumque fortuna comitetur . id est numquam aut MASK secunda fortuna acciderit , aut MASK adversa , ut MASK MASK mei faciat , hoc est neque secundis intumescam , neque adversis deiciar .",ME NULLA DIES TAM FORTIBUS AVSIS DISSIMILEM ARGVERIT,279,1,,,,205,209
86614466,aeneid_book7,Servius,"alibi per accusativum , ut “MASK MASK MASK MASK MASK MASK“ . et hoc secundum naturam est , nam 'MASK MASK MASK' dicimus : per dativum enim figuratum est .",MUROQUE SUBIBANT,161,1,,,,210,195
92511118,aeneid_book5,Servius,id est inlustrabat .,INCENDEBAT,87,1,,,,88,588
7974537,aeneid_book4,Servius,"Proserpinam raptam a Dite patre Ceres cum incensis faculis MASK orbem terrarum requireret , MASK trivia eam vel quadrivia vocabat clamoribus . unde permansit in eius sacris , ut certis diebus MASK compita a matronis exerceatur ululatus , sicut in Isidis sacris , ubi est imitatio inventi Osiridis , quem dilaniatum a Typhone eius fratre uxor Isis MASK totum orbem requisisse narratur : Iuvenalis “MASK MASK MASK MASK MASK“ . Hecaten autem causa invocat ultionis . unde etiam furias vocat , sed usurpative modo diras dixit : nam 'MASK' in caelo sunt , ut “MASK MASK MASK MASK MASK“ : 'MASK' in terris , 'MASK' apud inferos : unde et tres esse dicuntur . sed haec nomina confundunt poetae . 'MASK' vero , hoc est Tisiphone : nam Graece MASK ultio dicitur . 'MASK' autem pro 'MASK MASK'. et est participium sine verbo , ut 'MASK'.",VLULATA PER URBES,609,1,,,,511,473
55532291,aeneid_book8,Servius,"mire sine patris auctoritate nihil confirmat , et tamen hospitem appellat .",NOSTRIS SUCCEDE PENATIBUS HOSPES,123,1,,,,154,144
15760406,aeneid_book2,Servius,"bene excusat , ne reus sit conscientiae .",EA FAMA VAGATUR,17,1,,,,3,3
70108395,aeneid_book12,Servius,"per transitum historiae usus est verbis ; nam qui MASK exercitu relaxantur , MASK MASK dicuntur dimitti : Sallustius de Oppio , ubi eum Cotta in contione MASK exercitu cogit abscedere , dicit , “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ .",DIMITTERE AB ARMIS,844,1,,,,234,111
82275314,aeneid_book4,Servius,Sol : unus enim de Titanibus Hyperionis filius contra Iovem non fecit .,TITAN,119,1,,,,607,607
20052901,aeneid_book6,Servius,"id est Terrae : nam , ut supra diximus , nihil est aliud nox nisi umbra terrarum .",MAGNAEQUE SORORI,250,1,,,,272,272
81594594,aeneid_book12,Servius,"hypallage est pro 'MASK MASK MASK MASK MASK'. movebatur autem , intellegens se esse tantorum causam malorum , sicut supra ipse “MASK MASK MASK MASK MASK MASK MASK“ .",IGNEM SUBIECIT RUBOR,66,1,,,,109,676
6586142,aeneid_book3,Servius,"promunctorium Siciliae est secundum Sallustium , dictum a gubernatore Hannibalis illic sepulto , qui fuerat occisus per regis ignorantiam , cum se eius dolo propter angustias freti crederet esse deceptum , veniens de Petilia : quamquam legerimus , etiam ante Pelorum dictum .",PELORI,411,1,,,,687,410
45816712,aeneid_book5,Servius,"non tantum heroicum est quod dat Aeneae gubernandi scientiam , sed etiam ad prooeconomiam pertinet : dicturus enim est “MASK MASK MASK MASK MASK MASK MASK“ .",IAMDUDUM,27,1,,,,834,163
47326229,aeneid_book8,Servius,"epulae deorum propriae , ut Iovis cena .",DAPES,175,1,,,,175,183
90110704,aeneid_book10,Servius,sicut Mezentius odiorum et telorum totius exercitus .,CAELIQUE MARISQUE,695,1,,,,689,907
90566941,aeneid_book8,Servius,"crimen Antonii , quod MASK MASK Romanus pugnet .",OPE BARBARICA,685,1,,,,685,686
44662245,aeneid_book2,Servius,"non aliter . dicebant veteres 'MASK' et 'MASK', unde et 'MASK'.",HAVD SECUS,382,1,,,,382,82
97453119,aeneid_book5,Servius,bene rem notam per transitum tetigit : agonalis enim moris fuerat post sacrificia ad certamen venire .,CAESIS UT FORTE IVVENCIS,329,1,,,,42,104
30754165,aeneid_book7,Servius,"non mirum si sacrilegus et contemptor deorum contra piam gentem prior arma corripuit . et scienda est poetae adfectatio — nam ablepsiam nefas est dicere — hic enim aliquos commemorat , quos in bello non invenis , item in sequentibus aliquos invenimus , quorum hic nullam fecit commemorationem .",PRIMUS INIT BELLUM,647,1,,,,641,583
77855676,aeneid_book1,Servius,"aut ordo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK'. et usus est hoc genere elocutionis , quo et Terentius , qui dixit “MASK MASK MASK MASK MASK“ . atqui nihil tam contrarium ; omnes enim generale est , plerique speciale : ordo ergo est , quod omnes faciunt adulescentuli , ut animum ad aliquod studium adiungant , plerique equos alere , plerique canes . aut certe 'MASK' vacat , ut superius diximus istas frequenter vacare particulas , ut ipse Vergilius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . nemo enim dicit 'MASK MASK MASK', sed 'MASK MASK': vacat ergo 'MASK'. item in Lucilio “MASK MASK MASK MASK“ 'MASK' vacat , nam de uno loquebatur . ergo 'MASK MASK MASK' pro 'MASK MASK' posuit , cui contrarium ponebant veteres 'MASK', id est 'MASK MASK MASK' 'MASK MASK' pro 'MASK MASK'. sane legitur et 'MASK MASK', ut sit 'MASK MASK MASK'.",ANTHEA SI QUEM,181,1,,,,500,1.8
33454479,aeneid_book3,Servius,pro postquam ; et est temporis adverbium .,AST UBI,410,1,,,,8,192
66256628,aeneid_book7,Servius,"legitur in arte quod 'MASK MASK MASK MASK MASK' positivo tantum iungantur : quod tamen tunc observatur si ponantur ad augmentum istae particulae ; tunc enim vitiosam faciunt elocutionem . ceterum si ad exaequationem positae sint , possunt vel comparativo vel superlativo vel pro his gradibus ipsae inter se iungi : hinc ergo est 'MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK': non enim ad praelationem positae sunt , sed ad exaequationem . maiores enim nostri vitia non in dicto , sed in significatione esse voluerunt . hinc est in Sallustio “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ : nam MASK hic exaequatio est , non comparatio .",TAM MAGIS ILLA FREMENS ET TRISTIBUS EFFERA FLAMMIS QUAM MAGIS EFFVSO CRVDESCUNT SANGUINE PUGNAE,787,1,,,,421,658
20411055,aeneid_book10,Servius,"crudelem , cruentum .",CRUDUM,682,1,,,,727,492
71929677,aeneid_book11,Servius,"Probus aut cespite aut 'MASK' pro campo , scilicet quod caespes gleba sit .",CAESPITE,566,1,,,,206,556
65767624,aeneid_book10,Servius,officium .,OPUS,469,1,,,,467,534
74048499,aeneid_book6,Servius,"secundum Atticam linguam genetivus singularis Graecus est , cum ipse alibi “MASK MASK“ . quidam tamen hic subaudiunt 'MASK', id est pinxit , ut Horatius “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ . sane non nulli hunc Androgeum non ita , quemadmodum supra dictum est , insidiis occisum , sed a Marathonio tauro , qui flammas vomere dicebatur , conflagratum tradunt .",LETUM ANDROGEO,20,1,,,,20,20
29250959,aeneid_book2,Servius,ubi exercitus sit 'MASK' dicuntur : unde est “MASK MASK MASK MASK MASK MASK MASK“ .,CASTRA,462,1,,,,29,108
27064518,aeneid_book9,Servius,id est semper militamus .,CANITIEM GALEA PREMIMUS,609,1,,,,Unable to determine without proper MASK placement,185
22775265,aeneid_book12,Servius,"apud maiores orichalcum pretiosius metallis omnibus fuit : namque sicut Lucretius dicit , cum primum homines silvas incendissent , nullarum adhuc rerum periti , terra casu fertilis omnium , ex incendii calore desudavit metalla , inter quae orichalcum pretiosius visum est , quod et splendorem auri et aeris duritiam possideret . namque primum de auro securis facta displicuit causa mollitiae ; simili ratione et argenti contemptus est usus , mox aeris ; orichalcum placuit , donec veniretur ad ferrum : unde etiam saecula ita dicuntur fuisse divisa . orichalcum autem fuisse pretiosum etiam Plautus docet , qui ait in Milite Glorioso “MASK MASK MASK MASK MASK MASK“ .",ALBOQUE ORICHALCO,87,1,,,,87,N/A
6175054,aeneid_book1,Servius,id est quomodo .,QUA,676,1,,,,Unable to determine without complete excerpt,N/A
